state,year,month,rainfall
MANIPUR,2019,11,31.21059
MANIPUR,2019,12,4.8825755
MANIPUR,2020,1,31.631989
MANIPUR,2020,2,13.6407585
MANIPUR,2020,3,23.023743
MANIPUR,2020,4,65.43254
MANIPUR,2020,5,129.74065
MANIPUR,2020,6,239.92154
MANIPUR,2020,7,249.45502
MANIPUR,2020,8,185.64113
MANIPUR,2020,9,229.01587
MANIPUR,2020,10,136.97981
MANIPUR,2020,11,45.18638
MANIPUR,2020,12,2.6557183
MEGHALAYA,2016,1,10.276859
MEGHALAYA,2016,2,8.832386
MEGHALAYA,2016,3,78.877884
MEGHALAYA,2016,4,254.4133
MEGHALAYA,2016,5,409.60156
MEGHALAYA,2016,6,605.37823
MEGHALAYA,2016,7,784.856
MEGHALAYA,2016,8,402.07312
MEGHALAYA,2016,9,236.25456
MEGHALAYA,2016,10,170.8642
MEGHALAYA,2016,11,28.231535
MEGHALAYA,2016,12,4.7999763
MEGHALAYA,2017,1,4.4342103
MEGHALAYA,2017,2,8.728823
MEGHALAYA,2017,3,100.32651
MEGHALAYA,2017,4,351.63733
MEGHALAYA,2017,5,439.37494
MEGHALAYA,2017,6,960.96027
MEGHALAYA,2017,7,1115.01
MEGHALAYA,2017,8,655.0096
MEGHALAYA,2017,9,441.4041
MEGHALAYA,2017,10,406.11002
MEGHALAYA,2017,11,9.222184
MEGHALAYA,2017,12,11.204153
MEGHALAYA,2018,1,6.0474567
MEGHALAYA,2018,2,11.692145
MEGHALAYA,2018,3,83.63999
MEGHALAYA,2018,4,152.21243
MEGHALAYA,2018,5,396.4958
MEGHALAYA,2018,6,738.9105
MEGHALAYA,2018,7,706.0808
MEGHALAYA,2018,8,549.23663
MEGHALAYA,2018,9,319.73373
MEGHALAYA,2018,10,78.56625
MEGHALAYA,2018,11,4.0994325
MEGHALAYA,2018,12,11.95224
MEGHALAYA,2019,1,4.1734705
MEGHALAYA,2019,2,14.8941145
MEGHALAYA,2019,3,69.47023
MEGHALAYA,2019,4,400.72855
MEGHALAYA,2019,5,609.4841
MEGHALAYA,2019,6,541.3254
MEGHALAYA,2019,7,751.828
MEGHALAYA,2019,8,524.18713
MEGHALAYA,2019,9,370.32553
MEGHALAYA,2019,10,116.37552
MEGHALAYA,2019,11,14.11571
MEGHALAYA,2019,12,4.078234
MEGHALAYA,2020,1,22.954395
MEGHALAYA,2020,2,11.498627
MEGHALAYA,2020,3,32.475388
MEGHALAYA,2020,4,213.51599
MEGHALAYA,2020,5,440.63156
MEGHALAYA,2020,6,651.77875
MEGHALAYA,2020,7,949.2562
MEGHALAYA,2020,8,335.19235
MEGHALAYA,2020,9,437.5476
MEGHALAYA,2020,10,303.93423
MEGHALAYA,2020,11,4.6531496
MEGHALAYA,2020,12,3.5095887
MIZORAM,2016,1,8.07308
MIZORAM,2016,2,19.564789
MIZORAM,2016,3,72.80585
MIZORAM,2016,4,105.75459
MIZORAM,2016,5,263.45624
MIZORAM,2016,6,316.84344
MIZORAM,2016,7,356.5531
MIZORAM,2016,8,340.01758
MIZORAM,2016,9,325.17776
MIZORAM,2016,10,138.94008
MIZORAM,2016,11,194.10043
MIZORAM,2016,12,10.497646
MIZORAM,2017,1,7.3914137
MIZORAM,2017,2,8.266568
MIZORAM,2017,3,144.72815
MIZORAM,2017,4,232.23784
MIZORAM,2017,5,270.42908
MIZORAM,2017,6,636.28845
MIZORAM,2017,7,523.84784
MIZORAM,2017,8,308.70898
MIZORAM,2017,9,193.4357
MIZORAM,2017,10,254.12914
MIZORAM,2017,11,28.324594
MIZORAM,2017,12,28.984375
MIZORAM,2018,1,8.980206
MIZORAM,2018,2,14.410973
MIZORAM,2018,3,32.000084
MIZORAM,2018,4,91.57204
MIZORAM,2018,5,210.21298
MIZORAM,2018,6,613.3395
MIZORAM,2018,7,294.2032
MIZORAM,2018,8,260.3252
MIZORAM,2018,9,181.9706
MIZORAM,2018,10,131.95827
MIZORAM,2018,11,31.874527
MIZORAM,2018,12,14.441752
MIZORAM,2019,1,7.4019
MIZORAM,2019,2,25.772467
MIZORAM,2019,3,36.825584
MIZORAM,2019,4,72.42302
MIZORAM,2019,5,119.50838
MIZORAM,2019,6,214.91385
MIZORAM,2019,7,374.43552
MIZORAM,2019,8,286.95898
MIZORAM,2019,9,260.38748
MIZORAM,2019,10,133.67017
MIZORAM,2019,11,81.24504
MIZORAM,2019,12,11.816705
MIZORAM,2020,1,26.590744
MIZORAM,2020,2,6.7528973
MIZORAM,2020,3,25.165058
MIZORAM,2020,4,161.86215
MIZORAM,2020,5,126.35071
MIZORAM,2020,6,443.63144
MIZORAM,2020,7,420.0915
MIZORAM,2020,8,274.89624
MIZORAM,2020,9,237.91553
MIZORAM,2020,10,316.23804
MIZORAM,2020,11,55.004528
MIZORAM,2020,12,9.729635
NAGALAND,2016,1,21.479292
NAGALAND,2016,2,25.692291
NAGALAND,2016,3,90.62967
NAGALAND,2016,4,226.2319
NAGALAND,2016,5,248.78171
NAGALAND,2016,6,269.3189
NAGALAND,2016,7,414.76996
NAGALAND,2016,8,367.33682
NAGALAND,2016,9,394.13306
NAGALAND,2016,10,94.796585
NAGALAND,2016,11,14.952526
NAGALAND,2016,12,6.652649
NAGALAND,2017,1,15.18964
NAGALAND,2017,2,34.54364
NAGALAND,2017,3,89.24023
NAGALAND,2017,4,174.88684
NAGALAND,2017,5,247.29694
NAGALAND,2017,6,450.5396
NAGALAND,2017,7,480.95776
NAGALAND,2017,8,305.68317
NAGALAND,2017,9,271.2865
NAGALAND,2017,10,205.64365
NAGALAND,2017,11,11.625885
NAGALAND,2017,12,17.35494
NAGALAND,2018,1,17.243164
NAGALAND,2018,2,16.617043
NAGALAND,2018,3,75.20041
NAGALAND,2018,4,157.12479
NAGALAND,2018,5,180.60052
NAGALAND,2018,6,427.27917
NAGALAND,2018,7,466.76837
NAGALAND,2018,8,418.39478
NAGALAND,2018,9,237.36346
NAGALAND,2018,10,51.9255
NAGALAND,2018,11,23.77161
