STATE_UT_NAME,DISTRICT,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
NAGALAND,DIMAPUR,14.7,4.1,57.2,77.8,151.8,204.8,187.7,272,150.8,125,43.7,16.3,1305.9,18.8,286.8,815.3,185
NAGALAND,WOKHA,20.4,42.1,96.7,144.3,325.6,416.3,495.6,478.9,277.9,127.7,55.7,16.5,2497.7,62.5,566.6,1668.7,199.9
NAGALAND,MON,13.1,33.5,48.2,137.9,193.9,271.1,273.6,177.4,101.8,62.1,19.8,7.5,1339.9,46.6,380,823.9,89.4
NAGALAND,ZUNHEBOTO,23.7,26.8,65.7,177.2,225.7,350.3,441.8,352.2,241.8,122.5,41.6,10.7,2080,50.5,468.6,1386.1,174.8
NAGALAND,PHEK,12.3,28.8,55.8,89.8,162,308.2,365.4,376.1,258.3,130.2,31.8,6.1,1824.8,41.1,307.6,1308,168.1
NAGALAND,KEPHRIE,23.7,26.8,65.7,177.2,225.7,350.3,441.8,352.2,241.8,122.5,41.6,10.7,2080,50.5,468.6,1386.1,174.8
NAGALAND,LONGLENG,23.7,26.8,65.7,177.2,225.7,350.3,441.8,352.2,241.8,122.5,41.6,10.7,2080,50.5,468.6,1386.1,174.8
NAGALAND,PEREN,12.3,28.8,55.8,89.8,162,308.2,365.4,376.1,258.3,130.2,31.8,6.1,1824.8,41.1,307.6,1308,168.1
TRIPURA,NORTH TRIPURA,13.6,37.2,118.4,272.8,440.1,477.5,402.7,367.7,279.8,173.8,45.1,13.1,2641.8,50.8,831.3,1527.7,232
TRIPURA,SOUTH TRIPURA,8.1,30.6,78.5,169.7,335,474.9,497.4,396.8,255.1,175.1,44.5,9.7,2475.4,38.7,583.2,1624.2,229.3
TRIPURA,WEST TRIPURA,9.6,27.9,72.1,194.2,359.9,426.6,395.9,323.2,250.6,174.9,41.5,10.3,2286.7,37.5,626.2,1396.3,226.7
TRIPURA,DHALAI,13.6,38.9,105.5,246.3,431.3,482.7,363.9,338.2,255.9,182.8,42.1,11.4,2512.6,52.5,783.1,1440.7,236.3
WEST BENGAL,COOCH BEHAR,8.9,16,32.2,138.9,345.4,668.8,864.9,733,470.9,141.3,15.1,8.3,3443.7,24.9,516.5,2737.6,164.7
WEST BENGAL,DARJEELING,48.3,33.8,57.7,130.5,262.3,534.7,756.9,645.9,502.8,118.9,16.8,9.9,3118.5,82.1,450.5,2440.3,145.6
